epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5056,1.72366,4.0637,5.08279,1.65468,0.02636,0.19167,0.04853,0.03496,0.02202,0.15,0.045,0.03207,1.441,2.79072,4.7145,1.51903,4e-05,4e-05,4e-05
2,44.0872,1.32342,2.75974,2.75287,1.39425,0.67016,0.71445,0.80366,0.55454,0.58008,0.66711,0.70568,0.42622,0.99361,2.04251,13.8972,1.2265,8.8218e-05,8.8218e-05,8.8218e-05
3,67.4884,1.09357,2.05478,1.58772,1.19895,0.90357,0.86507,0.95664,0.68504,0.85122,0.84071,0.90439,0.54168,0.93501,1.72811,4.52758,1.1474,0.000134456,0.000134456,0.000134456
4,88.6872,0.98966,1.80326,1.11284,1.1606,0.91171,0.95251,0.96425,0.63513,0.84695,0.87776,0.851,0.51826,1.09585,1.89037,2.57831,1.25264,0.000178714,0.000178714,0.000178714
5,110.136,0.97372,1.71525,0.99493,1.08959,0.93162,0.96536,0.96423,0.67044,0.90134,0.9322,0.91608,0.53634,1.01927,1.78187,1.66915,1.18724,0.000220992,0.000220992,0.000220992
6,132.322,0.90665,1.55689,0.86902,1.06473,0.97487,0.95686,0.97867,0.64753,0.91762,0.89853,0.91186,0.56313,1.06982,1.72806,1.83996,1.22824,0.00026129,0.00026129,0.00026129
7,154.21,0.8703,1.5359,0.78063,1.00403,0.97792,0.97263,0.9835,0.73056,0.96983,0.9643,0.97394,0.59129,0.90479,1.59432,1.37045,1.07626,0.000299608,0.000299608,0.000299608
8,175.522,0.85108,1.41908,0.69618,1.00554,0.97483,0.97632,0.98447,0.7176,0.90161,0.90148,0.89976,0.57602,0.99012,1.72586,1.1447,1.10375,0.000335946,0.000335946,0.000335946
9,196.796,0.82944,1.38127,0.67412,1.01872,0.96739,0.99123,0.98875,0.72763,0.92804,0.94956,0.94715,0.58569,1.00662,1.62654,1.12005,1.13357,0.000370304,0.000370304,0.000370304
10,217.315,0.81323,1.37107,0.65546,1.01304,0.98487,0.98289,0.9875,0.73847,0.95297,0.94956,0.95684,0.6085,0.92001,1.53001,1.00351,1.06033,0.000402682,0.000402682,0.000402682
11,238.225,0.80605,1.29064,0.62265,0.9944,0.96961,0.98289,0.98425,0.73436,0.95352,0.96623,0.96586,0.61589,0.9704,1.45371,0.96318,1.10194,0.00043308,0.00043308,0.00043308
12,259.16,0.78991,1.31991,0.62635,1.00682,0.94884,0.98387,0.98933,0.7296,0.91717,0.95066,0.95458,0.58856,0.9977,1.59828,0.93147,1.10632,0.000461498,0.000461498,0.000461498
13,279.963,0.80687,1.28435,0.60803,1.02769,0.98626,0.98374,0.9888,0.75295,0.96165,0.95874,0.95842,0.60018,0.92612,1.54336,0.83855,1.07416,0.000487936,0.000487936,0.000487936
14,300.882,0.81966,1.26922,0.6186,1.01171,0.96329,0.98456,0.98831,0.72992,0.92439,0.94305,0.9426,0.58342,0.98444,1.67254,0.77076,1.12437,0.000512394,0.000512394,0.000512394
15,321.484,0.76314,1.16437,0.55832,0.9756,0.96245,0.99123,0.98812,0.72236,0.87499,0.89956,0.86859,0.55304,1.00299,1.77953,0.79162,1.13643,0.000534872,0.000534872,0.000534872
16,342.314,0.77344,1.22506,0.54966,0.9897,0.99056,0.99123,0.98785,0.72791,0.94099,0.94123,0.92077,0.56334,0.96785,1.75804,0.72113,1.1057,0.00055537,0.00055537,0.00055537
17,362.948,0.77527,1.17954,0.55036,0.98912,0.98888,0.99016,0.98747,0.7343,0.93991,0.94025,0.93356,0.5649,0.95888,1.67181,0.61828,1.09677,0.000573888,0.000573888,0.000573888
18,383.475,0.79377,1.25598,0.55037,1.02844,0.98355,0.98285,0.98698,0.72487,0.95098,0.94956,0.95118,0.56659,0.9652,1.77839,0.60192,1.07528,0.000590426,0.000590426,0.000590426
19,404.226,0.73702,1.13581,0.51734,0.95444,0.97861,0.98124,0.98715,0.74371,0.94638,0.94823,0.95327,0.57539,0.97071,1.82481,0.60087,1.08174,0.000604984,0.000604984,0.000604984
20,424.888,0.69674,1.11499,0.49397,0.95947,0.98028,0.99123,0.98757,0.75953,0.96402,0.97456,0.97196,0.61282,0.89682,1.65589,0.52101,1.0437,0.000617562,0.000617562,0.000617562
21,445.373,0.69602,1.06796,0.48591,0.96341,0.98726,0.9864,0.98758,0.75111,0.96157,0.96279,0.96135,0.6121,0.89997,1.67155,0.53267,1.05996,0.000604,0.000604,0.000604
22,466.115,0.70296,1.16825,0.49642,0.93925,0.98651,0.98603,0.98779,0.74743,0.97023,0.96944,0.97221,0.60588,0.91702,1.74008,0.53884,1.08269,0.0005842,0.0005842,0.0005842
23,486.79,0.69411,1.12079,0.49339,0.9336,0.99091,0.98825,0.98792,0.72481,0.97434,0.97172,0.97238,0.60739,0.96171,1.65499,0.56546,1.10862,0.0005644,0.0005644,0.0005644
24,508.291,0.69078,1.07642,0.47987,0.94374,0.98184,0.99123,0.98853,0.74746,0.96548,0.97456,0.9721,0.61816,0.91785,1.59171,0.49851,1.05952,0.0005446,0.0005446,0.0005446
25,529.183,0.68079,1.07934,0.48014,0.92325,0.98829,0.99123,0.98845,0.75099,0.98829,0.99123,0.98845,0.62975,0.90946,1.54555,0.47124,1.05827,0.0005248,0.0005248,0.0005248
26,549.839,0.76715,1.17316,0.52586,1.00086,0.98867,0.99123,0.98866,0.75455,0.98867,0.99123,0.98866,0.62445,0.92102,1.61417,0.46975,1.07231,0.000505,0.000505,0.000505
27,570.393,0.70914,1.08702,0.47953,0.95107,0.99417,0.98917,0.98892,0.74403,0.99417,0.98917,0.98892,0.62372,0.95163,1.60759,0.48273,1.10231,0.0004852,0.0004852,0.0004852
28,591.157,0.66375,1.02774,0.46249,0.93361,0.99301,0.98625,0.98861,0.76921,0.99301,0.98625,0.98861,0.61539,0.88119,1.53335,0.4496,1.02826,0.0004654,0.0004654,0.0004654
29,611.887,0.68511,1.03962,0.44393,0.94007,0.98783,0.98858,0.98911,0.77659,0.98783,0.98858,0.98911,0.63162,0.86296,1.5184,0.4352,1.01505,0.0004456,0.0004456,0.0004456
30,632.411,0.6407,0.99277,0.43151,0.92235,0.98987,0.99074,0.98934,0.76119,0.98987,0.99074,0.98934,0.62709,0.91628,1.56544,0.4514,1.03952,0.0004258,0.0004258,0.0004258
31,652.868,0.64422,1.01632,0.43283,0.92891,0.99149,0.99123,0.98934,0.76844,0.98328,0.98289,0.98016,0.62216,0.89339,1.55289,0.43652,1.02614,0.000406,0.000406,0.000406
32,673.328,0.62294,0.98118,0.41997,0.90737,0.9915,0.99096,0.98886,0.76991,0.95846,0.95785,0.95279,0.61925,0.86033,1.59853,0.42777,1.01161,0.0003862,0.0003862,0.0003862
33,693.594,0.62136,1.01454,0.43993,0.92463,0.99268,0.99123,0.98875,0.75793,0.95958,0.95789,0.95365,0.6147,0.8743,1.67,0.42601,1.02802,0.0003664,0.0003664,0.0003664
34,713.95,0.58333,0.9437,0.4135,0.90538,0.99245,0.99123,0.98849,0.76394,0.96766,0.96623,0.96265,0.62225,0.85795,1.62734,0.42661,1.01858,0.0003466,0.0003466,0.0003466
35,734.249,0.58369,0.93504,0.39741,0.89811,0.99144,0.99123,0.98853,0.76921,0.98321,0.98289,0.98092,0.63294,0.84156,1.6438,0.42232,1.01062,0.0003268,0.0003268,0.0003268
36,754.368,0.58302,0.88929,0.39132,0.91081,0.99256,0.99123,0.98838,0.78565,0.98432,0.98289,0.98086,0.63442,0.82611,1.57913,0.40155,1.00391,0.000307,0.000307,0.000307
37,774.633,0.59964,0.93527,0.39418,0.9072,0.99331,0.99123,0.98828,0.7756,0.98506,0.98289,0.98047,0.62907,0.84371,1.59303,0.39701,1.01903,0.0002872,0.0002872,0.0002872
38,795.157,0.57202,0.90847,0.38252,0.88678,0.99286,0.99024,0.98828,0.7734,0.97637,0.97358,0.97025,0.62507,0.83784,1.6087,0.39306,1.01562,0.0002674,0.0002674,0.0002674
39,815.905,0.55449,0.86964,0.37255,0.88462,0.99307,0.99098,0.98861,0.77869,0.96828,0.96598,0.96128,0.62143,0.8322,1.59194,0.39798,1.00648,0.0002476,0.0002476,0.0002476
40,836.461,0.55825,0.92224,0.37708,0.88942,0.99232,0.99123,0.98875,0.77214,0.97581,0.97456,0.97059,0.62272,0.84753,1.58558,0.39127,1.00455,0.0002278,0.0002278,0.0002278
41,856.583,0.57474,0.87982,0.4387,0.88862,0.99146,0.99123,0.98926,0.76838,0.97499,0.97456,0.97007,0.62135,0.86032,1.58127,0.39621,1.00994,0.000208,0.000208,0.000208
42,876.532,0.56019,0.86225,0.39647,0.88443,0.99232,0.99123,0.98942,0.75202,0.96755,0.96623,0.96085,0.60663,0.91285,1.63008,0.40785,1.04595,0.0001882,0.0001882,0.0001882
43,896.52,0.55673,0.85195,0.39858,0.88279,0.99397,0.99123,0.98952,0.75457,0.96915,0.96623,0.96105,0.60834,0.92609,1.63259,0.41624,1.05452,0.0001684,0.0001684,0.0001684
44,916.492,0.54328,0.81718,0.38452,0.89606,0.99456,0.99112,0.98952,0.77271,0.97803,0.97446,0.97184,0.63196,0.85986,1.53332,0.39593,1.01332,0.0001486,0.0001486,0.0001486
45,936.136,0.5341,0.73454,0.35708,0.88133,0.9937,0.99048,0.98952,0.78488,0.97713,0.97391,0.97357,0.63758,0.84066,1.53118,0.39421,1.00529,0.0001288,0.0001288,0.0001288
46,955.854,0.52277,0.78713,0.36553,0.88141,0.99246,0.99094,0.98961,0.77393,0.97592,0.97438,0.97364,0.63608,0.84378,1.53214,0.39776,1.01021,0.000109,0.000109,0.000109
47,975.703,0.51072,0.76125,0.35318,0.88068,0.99199,0.99123,0.98961,0.77377,0.97546,0.97456,0.97313,0.64287,0.84891,1.52464,0.39511,1.01408,8.92e-05,8.92e-05,8.92e-05
48,995.482,0.49672,0.75801,0.33466,0.86887,0.99189,0.99021,0.98952,0.77299,0.97538,0.97364,0.97151,0.63158,0.83315,1.51315,0.37878,1.0048,6.94e-05,6.94e-05,6.94e-05
49,1015.21,0.49803,0.74913,0.34274,0.87187,0.99212,0.98979,0.98952,0.78177,0.9756,0.9732,0.97045,0.63477,0.82772,1.50801,0.37374,1.0007,4.96e-05,4.96e-05,4.96e-05
50,1034.91,0.48084,0.71684,0.33206,0.84715,0.99234,0.98954,0.98952,0.78171,0.97582,0.97295,0.97042,0.63811,0.82678,1.50547,0.37167,0.99986,2.98e-05,2.98e-05,2.98e-05
